,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,num_pass_sents_char_1,num_pass_sents_char_2,num_pass_sents_char_3,num_pass_sents_char_4,num_pass_sents_char_5,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio
The Verdict,"Verdict,-The",1,0.9994,0.9456,-0.9966,0.9987,0.9861,32,9,12,12,7,595,190,257,187,98,"{'neg': 0.097, 'neu': 0.773, 'pos': 0.13, 'compound': 0.9999}","{'neg': 0.084, 'neu': 0.819, 'pos': 0.097, 'compound': 0.9842}","{'neg': 0.054, 'neu': 0.925, 'pos': 0.02, 'compound': -0.9998}","{'neg': 0.052, 'neu': 0.819, 'pos': 0.129, 'compound': 0.9987}","{'neg': 0.073, 'neu': 0.806, 'pos': 0.121, 'compound': 0.9963}",1785,380,1028,187,196,0.097,0.084,0.054,0.052,0.073,0.13,0.097,0.02,0.129,0.121,0.9999,0.9842,-0.9998,0.9987,0.9963,72,1327,0.05425772418990203
Moonrise Kingdom,Moonrise-Kingdom,1,0.9987,0.9939,0.9574,-0.8875,0.7961,10,12,6,5,4,232,179,174,185,28,"{'neg': 0.101, 'neu': 0.729, 'pos': 0.17, 'compound': 0.9987}","{'neg': 0.11, 'neu': 0.734, 'pos': 0.155, 'compound': 0.9939}","{'neg': 0.101, 'neu': 0.778, 'pos': 0.121, 'compound': 0.9886}","{'neg': 0.1, 'neu': 0.826, 'pos': 0.074, 'compound': -0.8875}","{'neg': 0.08, 'neu': 0.814, 'pos': 0.105, 'compound': 0.7961}",232,179,348,185,28,0.101,0.11,0.101,0.1,0.08,0.17,0.155,0.121,0.074,0.105,0.9987,0.9939,0.9886,-0.8875,0.7961,37,798,0.046365914786967416
The Roommate,"Roommate,-The",1,0.9999,0.9995,0.9983,0.9836,0.9983,22,12,7,4,1,919,685,192,166,126,"{'neg': 0.089, 'neu': 0.756, 'pos': 0.155, 'compound': 1.0}","{'neg': 0.106, 'neu': 0.751, 'pos': 0.143, 'compound': 0.9999}","{'neg': 0.084, 'neu': 0.75, 'pos': 0.166, 'compound': 0.9996}","{'neg': 0.094, 'neu': 0.799, 'pos': 0.106, 'compound': 0.9916}","{'neg': 0.034, 'neu': 0.828, 'pos': 0.138, 'compound': 0.9996}",2757,2055,384,332,252,0.089,0.106,0.084,0.094,0.034,0.155,0.143,0.166,0.106,0.138,1.0,0.9999,0.9996,0.9916,0.9996,46,2088,0.022030651340996167
Remember Me,Remember-Me,1,0.9989,0.9989,0.9962,0.8747,0.9978,14,4,3,2,1,356,274,201,82,67,"{'neg': 0.1, 'neu': 0.748, 'pos': 0.152, 'compound': 0.9999}","{'neg': 0.079, 'neu': 0.761, 'pos': 0.16, 'compound': 0.9999}","{'neg': 0.103, 'neu': 0.743, 'pos': 0.154, 'compound': 0.9994}","{'neg': 0.063, 'neu': 0.841, 'pos': 0.097, 'compound': 0.9487}","{'neg': 0.045, 'neu': 0.748, 'pos': 0.207, 'compound': 0.9999}",1424,822,603,164,268,0.1,0.079,0.103,0.063,0.045,0.152,0.16,0.154,0.097,0.207,0.9999,0.9999,0.9994,0.9487,0.9999,24,980,0.024489795918367346
Jennifer's Body,Jennifer's-Body,1,-0.9976,-0.9897,-0.9878,0.9919,0.9837,18,16,7,1,2,433,390,211,72,28,"{'neg': 0.166, 'neu': 0.689, 'pos': 0.145, 'compound': -0.9997}","{'neg': 0.15, 'neu': 0.705, 'pos': 0.144, 'compound': -0.9993}","{'neg': 0.157, 'neu': 0.697, 'pos': 0.145, 'compound': -0.9984}","{'neg': 0.089, 'neu': 0.728, 'pos': 0.183, 'compound': 0.9919}","{'neg': 0.068, 'neu': 0.746, 'pos': 0.185, 'compound': 0.9837}",1299,1560,633,72,28,0.166,0.15,0.157,0.089,0.068,0.145,0.144,0.145,0.183,0.185,-0.9997,-0.9993,-0.9984,0.9919,0.9837,44,1134,0.03880070546737213
Highlander,Highlander,0,0.9472,-0.9881,-0.9946,0.9944,-0.9543,8,12,9,7,7,267,237,125,133,70,"{'neg': 0.134, 'neu': 0.735, 'pos': 0.131, 'compound': 0.8706}","{'neg': 0.139, 'neu': 0.732, 'pos': 0.13, 'compound': -0.9988}","{'neg': 0.183, 'neu': 0.703, 'pos': 0.114, 'compound': -0.9946}","{'neg': 0.103, 'neu': 0.752, 'pos': 0.145, 'compound': 0.9944}","{'neg': 0.092, 'neu': 0.828, 'pos': 0.08, 'compound': -0.987}",534,711,125,133,140,0.134,0.139,0.183,0.103,0.092,0.131,0.13,0.114,0.145,0.08,0.8706,-0.9988,-0.9946,0.9944,-0.987,43,832,0.051682692307692304
Detroit Rock City,Detroit-Rock-City,0,0.9708,-0.9673,-0.9955,-0.8923,0.9953,9,6,8,3,2,306,161,158,155,60,"{'neg': 0.134, 'neu': 0.719, 'pos': 0.147, 'compound': 0.997}","{'neg': 0.137, 'neu': 0.74, 'pos': 0.123, 'compound': -0.9902}","{'neg': 0.139, 'neu': 0.761, 'pos': 0.1, 'compound': -0.9997}","{'neg': 0.132, 'neu': 0.742, 'pos': 0.126, 'compound': -0.9792}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",1224,322,632,465,0,0.134,0.137,0.139,0.132,0.0,0.147,0.123,0.1,0.126,0.0,0.997,-0.9902,-0.9997,-0.9792,0.0,28,840,0.03333333333333333
Slither,Slither,0,-0.9969,0.9981,0.9912,-0.9929,-0.8293,10,8,2,3,0,204,219,114,50,46,"{'neg': 0.147, 'neu': 0.754, 'pos': 0.099, 'compound': -0.9998}","{'neg': 0.121, 'neu': 0.686, 'pos': 0.193, 'compound': 0.9999}","{'neg': 0.107, 'neu': 0.727, 'pos': 0.165, 'compound': 0.9912}","{'neg': 0.201, 'neu': 0.701, 'pos': 0.098, 'compound': -0.9929}","{'neg': 0.118, 'neu': 0.774, 'pos': 0.108, 'compound': -0.9793}",816,876,114,50,184,0.147,0.121,0.107,0.201,0.118,0.099,0.193,0.165,0.098,0.108,-0.9998,0.9999,0.9912,-0.9929,-0.9793,23,633,0.036334913112164295
The King's Speech,"King's-Speech,-The",1,-0.9993,0.9946,-0.954,0.9866,0.9963,34,22,11,5,13,539,513,116,104,101,"{'neg': 0.143, 'neu': 0.749, 'pos': 0.109, 'compound': -0.9998}","{'neg': 0.129, 'neu': 0.732, 'pos': 0.138, 'compound': 0.9986}","{'neg': 0.099, 'neu': 0.815, 'pos': 0.085, 'compound': -0.954}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.063, 'neu': 0.773, 'pos': 0.164, 'compound': 0.9991}",1078,1026,116,0,202,0.143,0.129,0.099,0.0,0.063,0.109,0.138,0.085,0.0,0.164,-0.9998,0.9986,-0.954,0.0,0.9991,85,1373,0.061908230152949745
American Beauty,American-Beauty,1,0.9995,0.9783,-0.6341,0.9993,0.9902,8,4,2,1,4,374,202,152,208,169,"{'neg': 0.108, 'neu': 0.72, 'pos': 0.172, 'compound': 1.0}","{'neg': 0.137, 'neu': 0.698, 'pos': 0.165, 'compound': 0.9945}","{'neg': 0.155, 'neu': 0.683, 'pos': 0.162, 'compound': -0.6341}","{'neg': 0.105, 'neu': 0.699, 'pos': 0.195, 'compound': 0.9999}","{'neg': 0.145, 'neu': 0.675, 'pos': 0.18, 'compound': 0.9902}",1496,404,152,624,169,0.108,0.137,0.155,0.105,0.145,0.172,0.165,0.162,0.195,0.18,1.0,0.9945,-0.6341,0.9999,0.9902,19,1105,0.017194570135746608
"Crouching Tiger, Hidden Dragon","Crouching-Tiger,-Hidden-Dragon",1,0.9979,0.9963,-0.974,0.99,0.9785,10,3,6,2,1,217,179,163,107,53,"{'neg': 0.112, 'neu': 0.72, 'pos': 0.167, 'compound': 0.9998}","{'neg': 0.111, 'neu': 0.721, 'pos': 0.168, 'compound': 0.9996}","{'neg': 0.117, 'neu': 0.791, 'pos': 0.092, 'compound': -0.9924}","{'neg': 0.098, 'neu': 0.754, 'pos': 0.148, 'compound': 0.9972}","{'neg': 0.043, 'neu': 0.837, 'pos': 0.12, 'compound': 0.9973}",651,537,326,214,159,0.112,0.111,0.117,0.098,0.043,0.167,0.168,0.092,0.148,0.12,0.9998,0.9996,-0.9924,0.9972,0.9973,22,719,0.030598052851182198
Twins,Twins,1,0.9999,0.9994,0.9956,0.9914,0.9283,19,18,2,1,2,397,311,68,58,70,"{'neg': 0.093, 'neu': 0.738, 'pos': 0.169, 'compound': 1.0}","{'neg': 0.107, 'neu': 0.736, 'pos': 0.157, 'compound': 1.0}","{'neg': 0.064, 'neu': 0.761, 'pos': 0.176, 'compound': 0.9995}","{'neg': 0.07, 'neu': 0.77, 'pos': 0.16, 'compound': 0.9989}","{'neg': 0.121, 'neu': 0.731, 'pos': 0.148, 'compound': 0.9283}",1588,1244,204,174,70,0.093,0.107,0.064,0.07,0.121,0.169,0.157,0.176,0.16,0.148,1.0,1.0,0.9995,0.9989,0.9283,42,904,0.046460176991150445
Scream,Scream,1,-0.998,-0.9991,0.9324,-0.9967,-0.9934,6,8,5,6,9,242,164,170,120,104,"{'neg': 0.136, 'neu': 0.781, 'pos': 0.083, 'compound': -0.9999}","{'neg': 0.2, 'neu': 0.696, 'pos': 0.103, 'compound': -0.9998}","{'neg': 0.138, 'neu': 0.709, 'pos': 0.153, 'compound': 0.9883}","{'neg': 0.188, 'neu': 0.697, 'pos': 0.115, 'compound': -0.9967}","{'neg': 0.133, 'neu': 0.798, 'pos': 0.069, 'compound': -0.9993}",968,328,510,120,312,0.136,0.2,0.138,0.188,0.133,0.083,0.103,0.153,0.115,0.069,-0.9999,-0.9998,0.9883,-0.9967,-0.9993,34,800,0.0425
The Queen,"Queen,-The",1,0.9996,0.9983,-0.9461,0.9704,0.8233,15,8,6,4,1,303,216,83,61,61,"{'neg': 0.121, 'neu': 0.697, 'pos': 0.182, 'compound': 0.9999}","{'neg': 0.106, 'neu': 0.733, 'pos': 0.161, 'compound': 0.9996}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",606,432,0,0,0,0.121,0.106,0.0,0.0,0.0,0.182,0.161,0.0,0.0,0.0,0.9999,0.9996,0.0,0.0,0.0,34,724,0.04696132596685083
The Deer Hunter,"Deer-Hunter,-The",1,0.9987,-0.9936,-0.9745,0.7608,0.9974,7,1,15,0,1,418,228,216,95,111,"{'neg': 0.08, 'neu': 0.767, 'pos': 0.153, 'compound': 0.9999}","{'neg': 0.148, 'neu': 0.741, 'pos': 0.111, 'compound': -0.9996}","{'neg': 0.104, 'neu': 0.811, 'pos': 0.085, 'compound': -0.9965}","{'neg': 0.054, 'neu': 0.881, 'pos': 0.065, 'compound': 0.8736}","{'neg': 0.057, 'neu': 0.753, 'pos': 0.189, 'compound': 0.9997}",1672,912,648,190,333,0.08,0.148,0.104,0.054,0.057,0.153,0.111,0.085,0.065,0.189,0.9999,-0.9996,-0.9965,0.8736,0.9997,24,1068,0.02247191011235955
When a Stranger Calls,When-a-Stranger-Calls,1,0.9957,-0.9559,0.9903,0.9808,0.9794,5,7,3,5,1,190,163,101,49,50,"{'neg': 0.075, 'neu': 0.772, 'pos': 0.152, 'compound': 0.9957}","{'neg': 0.109, 'neu': 0.785, 'pos': 0.106, 'compound': -0.9559}","{'neg': 0.06, 'neu': 0.813, 'pos': 0.127, 'compound': 0.9903}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.039, 'neu': 0.83, 'pos': 0.131, 'compound': 0.9794}",190,163,101,0,50,0.075,0.109,0.06,0.0,0.039,0.152,0.106,0.127,0.0,0.131,0.9957,-0.9559,0.9903,0.0,0.9794,21,553,0.0379746835443038
Wag the Dog,Wag-the-Dog,1,-0.9993,0.9975,0.9663,0.9606,0.9664,24,12,5,0,7,499,409,222,45,38,"{'neg': 0.129, 'neu': 0.766, 'pos': 0.105, 'compound': -0.9999}","{'neg': 0.112, 'neu': 0.75, 'pos': 0.138, 'compound': 0.9975}","{'neg': 0.098, 'neu': 0.785, 'pos': 0.117, 'compound': 0.9957}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",1497,409,666,0,0,0.129,0.112,0.098,0.0,0.0,0.105,0.138,0.117,0.0,0.0,-0.9999,0.9975,0.9957,0.0,0.0,48,1213,0.03957131079967024
The Theory of Everything,"Theory-of-Everything,-The",1,0.9989,0.9979,0.9703,0.9789,0.9943,4,7,0,1,4,278,256,97,82,77,"{'neg': 0.083, 'neu': 0.753, 'pos': 0.164, 'compound': 0.9997}","{'neg': 0.067, 'neu': 0.819, 'pos': 0.115, 'compound': 0.9998}","{'neg': 0.11, 'neu': 0.722, 'pos': 0.169, 'compound': 0.9905}","{'neg': 0.073, 'neu': 0.799, 'pos': 0.129, 'compound': 0.9972}","{'neg': 0.043, 'neu': 0.813, 'pos': 0.144, 'compound': 0.9985}",556,768,194,246,154,0.083,0.067,0.11,0.073,0.043,0.164,0.115,0.169,0.129,0.144,0.9997,0.9998,0.9905,0.9972,0.9985,16,790,0.020253164556962026
Drive,Drive,1,0.9965,0.9936,0.9982,0.9977,0.9861,5,13,3,7,10,223,240,151,135,135,"{'neg': 0.083, 'neu': 0.804, 'pos': 0.112, 'compound': 0.9996}","{'neg': 0.101, 'neu': 0.781, 'pos': 0.118, 'compound': 0.9992}","{'neg': 0.073, 'neu': 0.799, 'pos': 0.128, 'compound': 0.9998}","{'neg': 0.086, 'neu': 0.78, 'pos': 0.134, 'compound': 0.9997}","{'neg': 0.083, 'neu': 0.808, 'pos': 0.108, 'compound': 0.9985}",669,720,453,405,405,0.083,0.101,0.073,0.086,0.083,0.112,0.118,0.128,0.134,0.108,0.9996,0.9992,0.9998,0.9997,0.9985,38,884,0.042986425339366516
Malibu's Most Wanted,Malibu's-Most-Wanted,1,0.9513,-0.9482,-0.995,0.9946,0.9819,14,6,1,3,6,391,154,137,103,92,"{'neg': 0.105, 'neu': 0.783, 'pos': 0.112, 'compound': 0.9845}","{'neg': 0.141, 'neu': 0.722, 'pos': 0.137, 'compound': -0.9814}","{'neg': 0.168, 'neu': 0.709, 'pos': 0.124, 'compound': -0.995}","{'neg': 0.079, 'neu': 0.776, 'pos': 0.145, 'compound': 0.9985}","{'neg': 0.107, 'neu': 0.748, 'pos': 0.145, 'compound': 0.9979}",782,308,137,206,276,0.105,0.141,0.168,0.079,0.107,0.112,0.137,0.124,0.145,0.145,0.9845,-0.9814,-0.995,0.9985,0.9979,30,877,0.03420752565564424
All About Steve,All-About-Steve,1,0.9999,0.9981,-0.9894,0.9676,-0.8701,28,11,4,0,1,836,323,226,78,72,"{'neg': 0.084, 'neu': 0.781, 'pos': 0.135, 'compound': 1.0}","{'neg': 0.12, 'neu': 0.736, 'pos': 0.144, 'compound': 0.9999}","{'neg': 0.133, 'neu': 0.755, 'pos': 0.112, 'compound': -0.9993}","{'neg': 0.06, 'neu': 0.835, 'pos': 0.105, 'compound': 0.9909}","{'neg': 0.066, 'neu': 0.889, 'pos': 0.045, 'compound': -0.979}",3344,1292,904,156,216,0.084,0.12,0.133,0.06,0.066,0.135,0.144,0.112,0.105,0.045,1.0,0.9999,-0.9993,0.9909,-0.979,44,1535,0.028664495114006514
The Princess Bride,"Princess-Bride,-The",1,0.9696,0.9367,0.9957,-0.9978,-0.9975,7,4,6,9,11,194,139,108,122,98,"{'neg': 0.147, 'neu': 0.683, 'pos': 0.17, 'compound': 0.9909}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.186, 'neu': 0.686, 'pos': 0.128, 'compound': -0.9997}",388,0,0,0,294,0.147,0.0,0.0,0.0,0.186,0.17,0.0,0.0,0.0,0.128,0.9909,0.0,0.0,0.0,-0.9997,37,661,0.05597579425113464
Love and Basketball,Love-and-Basketball,1,0.9993,0.9985,0.9989,0.9932,0.8939,11,9,3,2,1,391,373,104,113,52,"{'neg': 0.105, 'neu': 0.731, 'pos': 0.164, 'compound': 0.9993}","{'neg': 0.098, 'neu': 0.755, 'pos': 0.147, 'compound': 0.9985}","{'neg': 0.064, 'neu': 0.744, 'pos': 0.192, 'compound': 0.9997}","{'neg': 0.072, 'neu': 0.804, 'pos': 0.124, 'compound': 0.9932}","{'neg': 0.146, 'neu': 0.694, 'pos': 0.16, 'compound': 0.8939}",391,373,208,113,52,0.105,0.098,0.064,0.072,0.146,0.164,0.147,0.192,0.124,0.16,0.9993,0.9985,0.9997,0.9932,0.8939,26,1033,0.02516940948693127
Boogie Nights,Boogie-Nights,1,0.9997,0.9998,0.9994,0.9752,0.9886,8,2,3,0,0,691,343,140,89,89,"{'neg': 0.141, 'neu': 0.621, 'pos': 0.237, 'compound': 1.0}","{'neg': 0.083, 'neu': 0.676, 'pos': 0.241, 'compound': 1.0}","{'neg': 0.052, 'neu': 0.666, 'pos': 0.282, 'compound': 0.9998}","{'neg': 0.105, 'neu': 0.719, 'pos': 0.176, 'compound': 0.9932}","{'neg': 0.073, 'neu': 0.75, 'pos': 0.177, 'compound': 0.9886}",2073,1372,280,178,89,0.141,0.083,0.052,0.105,0.073,0.237,0.241,0.282,0.176,0.177,1.0,1.0,0.9998,0.9932,0.9886,13,1352,0.009615384615384616
The Big Lebowski,"Big-Lebowski,-The",1,-0.9995,-0.9997,0.9976,-0.99,0.9668,18,13,3,3,2,593,431,101,102,38,"{'neg': 0.155, 'neu': 0.712, 'pos': 0.132, 'compound': -1.0}","{'neg': 0.157, 'neu': 0.752, 'pos': 0.092, 'compound': -0.9999}","{'neg': 0.088, 'neu': 0.742, 'pos': 0.171, 'compound': 0.9976}","{'neg': 0.134, 'neu': 0.764, 'pos': 0.102, 'compound': -0.99}","{'neg': 0.045, 'neu': 0.838, 'pos': 0.117, 'compound': 0.9906}",2372,862,101,102,76,0.155,0.157,0.088,0.134,0.045,0.132,0.092,0.171,0.102,0.117,-1.0,-0.9999,0.9976,-0.99,0.9906,39,1265,0.0308300395256917
The Hurt Locker,"Hurt-Locker,-The",1,0.9998,-0.9978,-0.9992,-0.9486,0.897,13,12,5,0,1,455,350,183,53,35,"{'neg': 0.094, 'neu': 0.739, 'pos': 0.167, 'compound': 1.0}","{'neg': 0.14, 'neu': 0.749, 'pos': 0.111, 'compound': -0.9997}","{'neg': 0.196, 'neu': 0.699, 'pos': 0.104, 'compound': -0.9999}","{'neg': 0.121, 'neu': 0.785, 'pos': 0.094, 'compound': -0.9486}","{'neg': 0.038, 'neu': 0.876, 'pos': 0.085, 'compound': 0.9868}",1365,1050,549,53,105,0.094,0.14,0.196,0.121,0.038,0.167,0.111,0.104,0.094,0.085,1.0,-0.9997,-0.9999,-0.9486,0.9868,31,1076,0.028810408921933085
Confidence,Confidence,0,0.9977,0.997,0.9356,0.9945,0.9952,27,7,4,9,4,754,189,104,94,94,"{'neg': 0.117, 'neu': 0.755, 'pos': 0.128, 'compound': 0.9998}","{'neg': 0.123, 'neu': 0.702, 'pos': 0.174, 'compound': 0.997}","{'neg': 0.108, 'neu': 0.757, 'pos': 0.135, 'compound': 0.9785}","{'neg': 0.066, 'neu': 0.803, 'pos': 0.131, 'compound': 0.9994}","{'neg': 0.054, 'neu': 0.816, 'pos': 0.13, 'compound': 0.9952}",3016,189,208,282,94,0.117,0.123,0.108,0.066,0.054,0.128,0.174,0.135,0.131,0.13,0.9998,0.997,0.9785,0.9994,0.9952,51,1235,0.04129554655870445
Black Snake Moan,Black-Snake-Moan,0,0.9997,0.9474,0.9959,-0.827,-0.9975,17,5,5,1,1,615,307,135,84,63,"{'neg': 0.109, 'neu': 0.73, 'pos': 0.16, 'compound': 0.9999}","{'neg': 0.144, 'neu': 0.72, 'pos': 0.136, 'compound': 0.9907}","{'neg': 0.081, 'neu': 0.76, 'pos': 0.159, 'compound': 0.999}","{'neg': 0.118, 'neu': 0.767, 'pos': 0.115, 'compound': -0.827}","{'neg': 0.211, 'neu': 0.734, 'pos': 0.056, 'compound': -0.9994}",1230,921,270,84,126,0.109,0.144,0.081,0.118,0.211,0.16,0.136,0.159,0.115,0.056,0.9999,0.9907,0.999,-0.827,-0.9994,29,1204,0.02408637873754153
Mulholland Drive,Mulholland-Drive,1,0.9982,0.9962,0.957,0.9947,0.9454,7,0,1,5,1,329,117,89,82,44,"{'neg': 0.114, 'neu': 0.734, 'pos': 0.152, 'compound': 0.9995}","{'neg': 0.052, 'neu': 0.793, 'pos': 0.154, 'compound': 0.9962}","{'neg': 0.084, 'neu': 0.798, 'pos': 0.118, 'compound': 0.957}","{'neg': 0.088, 'neu': 0.758, 'pos': 0.155, 'compound': 0.9947}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",658,117,89,82,0,0.114,0.052,0.084,0.088,0.0,0.152,0.154,0.118,0.155,0.0,0.9995,0.9962,0.957,0.9947,0.0,14,661,0.02118003025718608
Groundhog Day,Groundhog-Day,1,0.9999,0.9997,0.987,0.9614,0.9922,17,3,3,0,0,764,344,38,66,14,"{'neg': 0.085, 'neu': 0.764, 'pos': 0.15, 'compound': 1.0}","{'neg': 0.081, 'neu': 0.745, 'pos': 0.174, 'compound': 1.0}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.04, 'neu': 0.865, 'pos': 0.095, 'compound': 0.9614}","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.9922}",2292,1032,0,66,14,0.085,0.081,0.0,0.04,0.0,0.15,0.174,0.0,0.095,0.206,1.0,1.0,0.0,0.9614,0.9922,23,1226,0.018760195758564437
Pretty Woman,Pretty-Woman,1,0.9999,0.9998,0.99,0.9928,0.9471,16,10,6,2,4,573,475,177,106,44,"{'neg': 0.085, 'neu': 0.731, 'pos': 0.184, 'compound': 1.0}","{'neg': 0.078, 'neu': 0.758, 'pos': 0.163, 'compound': 0.9999}","{'neg': 0.088, 'neu': 0.79, 'pos': 0.122, 'compound': 0.9987}","{'neg': 0.097, 'neu': 0.737, 'pos': 0.166, 'compound': 0.9981}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",2292,950,531,212,0,0.085,0.078,0.088,0.097,0.0,0.184,0.163,0.122,0.166,0.0,1.0,0.9999,0.9987,0.9981,0.0,38,1375,0.027636363636363636
Slumdog Millionaire,Slumdog-Millionaire,1,0.9993,0.9998,-0.982,0.9635,-0.9867,8,13,3,1,2,377,384,210,82,89,"{'neg': 0.072, 'neu': 0.792, 'pos': 0.137, 'compound': 0.9999}","{'neg': 0.062, 'neu': 0.773, 'pos': 0.165, 'compound': 1.0}","{'neg': 0.136, 'neu': 0.757, 'pos': 0.107, 'compound': -0.9957}","{'neg': 0.061, 'neu': 0.811, 'pos': 0.128, 'compound': 0.991}","{'neg': 0.148, 'neu': 0.748, 'pos': 0.104, 'compound': -0.9867}",1131,1152,420,164,89,0.072,0.062,0.136,0.061,0.148,0.137,0.165,0.107,0.128,0.104,0.9999,1.0,-0.9957,0.991,-0.9867,27,1142,0.023642732049036778
The Iron Lady,"Iron-Lady,-The",1,0.9997,0.9971,0.9953,0.9864,-0.7777,15,4,1,0,1,418,138,57,19,8,"{'neg': 0.117, 'neu': 0.714, 'pos': 0.169, 'compound': 0.9999}","{'neg': 0.077, 'neu': 0.773, 'pos': 0.15, 'compound': 0.9971}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.06, 'neu': 0.726, 'pos': 0.213, 'compound': 0.9864}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",836,138,0,19,0,0.117,0.077,0.0,0.06,0.0,0.169,0.15,0.0,0.213,0.0,0.9999,0.9971,0.0,0.9864,0.0,21,640,0.0328125
Jason X,Jason-X,1,-0.956,0.9917,-0.9923,-0.9768,-0.9988,10,5,6,3,1,249,227,165,147,117,"{'neg': 0.143, 'neu': 0.729, 'pos': 0.128, 'compound': -0.994}","{'neg': 0.088, 'neu': 0.787, 'pos': 0.125, 'compound': 0.9977}","{'neg': 0.146, 'neu': 0.753, 'pos': 0.101, 'compound': -0.9979}","{'neg': 0.11, 'neu': 0.818, 'pos': 0.072, 'compound': -0.9969}","{'neg': 0.209, 'neu': 0.733, 'pos': 0.058, 'compound': -0.9988}",498,454,330,441,117,0.143,0.088,0.146,0.11,0.209,0.128,0.125,0.101,0.072,0.058,-0.994,0.9977,-0.9979,-0.9969,-0.9988,25,905,0.027624309392265192
Margaret,Margaret,0,1.0,0.9993,0.9993,0.9972,-0.9918,41,11,13,2,8,1178,408,244,114,76,"{'neg': 0.102, 'neu': 0.711, 'pos': 0.186, 'compound': 1.0}","{'neg': 0.113, 'neu': 0.735, 'pos': 0.152, 'compound': 0.9999}","{'neg': 0.099, 'neu': 0.732, 'pos': 0.169, 'compound': 0.9999}","{'neg': 0.095, 'neu': 0.742, 'pos': 0.162, 'compound': 0.9997}","{'neg': 0.14, 'neu': 0.761, 'pos': 0.099, 'compound': -0.9981}",3534,1224,732,342,152,0.102,0.113,0.099,0.095,0.14,0.186,0.152,0.169,0.162,0.099,1.0,0.9999,0.9999,0.9997,-0.9981,75,2020,0.03712871287128713
Black Swan,Black-Swan,1,0.9941,0.9994,0.9973,0.9914,0.8213,5,11,4,3,1,386,345,199,184,28,"{'neg': 0.108, 'neu': 0.769, 'pos': 0.123, 'compound': 0.9992}","{'neg': 0.113, 'neu': 0.717, 'pos': 0.17, 'compound': 0.9999}","{'neg': 0.091, 'neu': 0.753, 'pos': 0.155, 'compound': 0.9997}","{'neg': 0.104, 'neu': 0.766, 'pos': 0.129, 'compound': 0.9914}","{'neg': 0.06, 'neu': 0.863, 'pos': 0.076, 'compound': 0.9426}",1158,690,597,184,56,0.108,0.113,0.091,0.104,0.06,0.123,0.17,0.155,0.129,0.076,0.9992,0.9999,0.9997,0.9914,0.9426,24,1142,0.021015761821366025
