,Processed Title,Success,overall_polarity_char_1,overall_polarity_char_2,overall_polarity_char_3,overall_polarity_char_4,overall_polarity_char_5,polarity_of_mentions_char_1,polarity_of_mentions_char_2,polarity_of_mentions_char_3,polarity_of_mentions_char_4,polarity_of_mentions_char_5,neg_polarity_of_mentions_char_1,neg_polarity_of_mentions_char_2,neg_polarity_of_mentions_char_3,neg_polarity_of_mentions_char_4,neg_polarity_of_mentions_char_5,pos_polarity_of_mentions_char_1,pos_polarity_of_mentions_char_2,pos_polarity_of_mentions_char_3,pos_polarity_of_mentions_char_4,pos_polarity_of_mentions_char_5,compound_polarity_of_mentions_char_1,compound_polarity_of_mentions_char_2,compound_polarity_of_mentions_char_3,compound_polarity_of_mentions_char_4,compound_polarity_of_mentions_char_5,tot_pass_sents,tot_sents,passive_ratio,tot_coref_sents,pct_coref_sents,num_sents_char_1,num_sents_char_2,num_sents_char_3,num_sents_char_4,num_sents_char_5,n_coref_sents_char_1,n_coref_sents_char_2,n_coref_sents_char_3,n_coref_sents_char_4,n_coref_sents_char_5
The Last Samurai,"Last-Samurai,-The",1,-0.9971,0.9863,0.9993,0.9934,0.938,"{'neg': 0.143, 'neu': 0.728, 'pos': 0.129, 'compound': -0.9998}","{'neg': 0.12, 'neu': 0.737, 'pos': 0.143, 'compound': 0.9966}","{'neg': 0.087, 'neu': 0.729, 'pos': 0.184, 'compound': 1.0}","{'neg': 0.082, 'neu': 0.785, 'pos': 0.133, 'compound': 0.9992}","{'neg': 0.123, 'neu': 0.737, 'pos': 0.14, 'compound': 0.9897}",0.143,0.12,0.087,0.082,0.123,0.129,0.143,0.184,0.133,0.14,-0.9998,0.9966,1.0,0.9992,0.9897,63,884,0.07126696832579185,60,0.06787330316742081,393,168,132,107,84,11,9,23,9,8
Spider-Man,Spider-Man,1,0.9988,0.965,0.9974,-0.8871,0.9804,"{'neg': 0.09, 'neu': 0.748, 'pos': 0.162, 'compound': 0.9999}","{'neg': 0.112, 'neu': 0.762, 'pos': 0.125, 'compound': 0.995}","{'neg': 0.061, 'neu': 0.802, 'pos': 0.137, 'compound': 0.9997}","{'neg': 0.076, 'neu': 0.862, 'pos': 0.062, 'compound': -0.9551}","{'neg': 0.114, 'neu': 0.739, 'pos': 0.146, 'compound': 0.9944}",0.09,0.112,0.061,0.076,0.114,0.162,0.125,0.137,0.062,0.146,0.9999,0.995,0.9997,-0.9551,0.9944,25,824,0.03033980582524272,85,0.10315533980582524,221,285,160,70,88,22,8,38,10,7
Watchmen,Watchmen,1,0.8321,-0.9988,-0.9993,0.9973,-0.9738,"{'neg': 0.128, 'neu': 0.74, 'pos': 0.132, 'compound': 0.9746}","{'neg': 0.144, 'neu': 0.745, 'pos': 0.111, 'compound': -0.9999}","{'neg': 0.159, 'neu': 0.735, 'pos': 0.106, 'compound': -1.0}","{'neg': 0.112, 'neu': 0.736, 'pos': 0.151, 'compound': 0.9998}","{'neg': 0.136, 'neu': 0.741, 'pos': 0.123, 'compound': -0.9979}",0.128,0.144,0.159,0.112,0.136,0.132,0.111,0.106,0.151,0.123,0.9746,-0.9999,-1.0,0.9998,-0.9979,49,1426,0.034361851332398316,224,0.1570827489481066,410,377,345,186,108,96,47,37,35,9
The Croods,"Croods,-The",1,-0.9984,-0.9958,0.9972,0.9962,-0.8621,"{'neg': 0.151, 'neu': 0.738, 'pos': 0.112, 'compound': -0.9999}","{'neg': 0.145, 'neu': 0.76, 'pos': 0.095, 'compound': -0.9995}","{'neg': 0.095, 'neu': 0.756, 'pos': 0.149, 'compound': 0.9993}","{'neg': 0.105, 'neu': 0.717, 'pos': 0.178, 'compound': 0.999}","{'neg': 0.104, 'neu': 0.814, 'pos': 0.082, 'compound': -0.9837}",0.151,0.145,0.095,0.105,0.104,0.112,0.095,0.149,0.178,0.082,-0.9999,-0.9995,0.9993,0.999,-0.9837,23,1157,0.019878997407087293,110,0.09507346585998272,429,216,266,143,103,55,7,11,3,34
The Revenant,"Revenant,-The",1,-0.9967,-0.8804,0.9974,0.9801,-0.9833,"{'neg': 0.129, 'neu': 0.773, 'pos': 0.098, 'compound': -0.9996}","{'neg': 0.087, 'neu': 0.832, 'pos': 0.081, 'compound': -0.9781}","{'neg': 0.045, 'neu': 0.828, 'pos': 0.127, 'compound': 0.9997}","{'neg': 0.051, 'neu': 0.818, 'pos': 0.131, 'compound': 0.9943}","{'neg': 0.184, 'neu': 0.772, 'pos': 0.044, 'compound': -0.9833}",0.129,0.087,0.045,0.051,0.184,0.098,0.081,0.127,0.131,0.044,-0.9996,-0.9781,0.9997,0.9943,-0.9833,18,544,0.03308823529411765,51,0.09375,190,138,122,67,27,16,7,23,4,1
Miami Vice,Miami-Vice,1,-0.9946,-0.9925,-0.6727,0.9845,-0.9792,"{'neg': 0.103, 'neu': 0.811, 'pos': 0.087, 'compound': -0.9993}","{'neg': 0.093, 'neu': 0.833, 'pos': 0.074, 'compound': -0.9925}","{'neg': 0.091, 'neu': 0.821, 'pos': 0.089, 'compound': -0.6727}","{'neg': 0.08, 'neu': 0.797, 'pos': 0.124, 'compound': 0.9981}","{'neg': 0.145, 'neu': 0.762, 'pos': 0.093, 'compound': -0.9944}",0.103,0.093,0.091,0.08,0.145,0.087,0.074,0.089,0.124,0.093,-0.9993,-0.9925,-0.6727,0.9981,-0.9944,35,956,0.036610878661087864,24,0.02510460251046025,385,208,193,109,61,14,3,2,2,3
War of the Worlds,War-of-the-Worlds,1,0.999,0.9527,0.9408,-0.9561,-0.9725,"{'neg': 0.067, 'neu': 0.8, 'pos': 0.134, 'compound': 0.9999}","{'neg': 0.059, 'neu': 0.845, 'pos': 0.096, 'compound': 0.981}","{'neg': 0.061, 'neu': 0.836, 'pos': 0.103, 'compound': 0.9806}","{'neg': 0.085, 'neu': 0.862, 'pos': 0.053, 'compound': -0.9934}","{'neg': 0.074, 'neu': 0.91, 'pos': 0.016, 'compound': -0.9965}",0.067,0.059,0.061,0.085,0.074,0.134,0.096,0.103,0.053,0.016,0.9999,0.981,0.9806,-0.9934,-0.9965,24,740,0.032432432432432434,105,0.14189189189189189,406,121,86,92,35,56,16,8,12,13
The Bourne Ultimatum,"Bourne-Ultimatum,-The",1,-0.9219,-0.9969,-0.8754,0.9886,0.7136,"{'neg': 0.078, 'neu': 0.826, 'pos': 0.096, 'compound': -0.9729}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.074, 'neu': 0.866, 'pos': 0.06, 'compound': -0.9612}","{'neg': 0.027, 'neu': 0.843, 'pos': 0.13, 'compound': 0.9969}","{'neg': 0.096, 'neu': 0.804, 'pos': 0.101, 'compound': 0.7136}",0.078,0.0,0.074,0.027,0.096,0.096,0.0,0.06,0.13,0.101,-0.9729,0.0,-0.9612,0.9969,0.7136,25,577,0.043327556325823226,51,0.08838821490467938,219,150,104,51,53,27,0,13,9,2
Kung Fu Panda,Kung-Fu-Panda,1,0.9987,0.9934,-0.9483,0.7834,0.8767,"{'neg': 0.126, 'neu': 0.696, 'pos': 0.178, 'compound': 0.9997}","{'neg': 0.143, 'neu': 0.692, 'pos': 0.165, 'compound': 0.9982}","{'neg': 0.127, 'neu': 0.768, 'pos': 0.104, 'compound': -0.9483}","{'neg': 0.151, 'neu': 0.683, 'pos': 0.165, 'compound': 0.9153}","{'neg': 0.081, 'neu': 0.826, 'pos': 0.093, 'compound': 0.9516}",0.126,0.143,0.127,0.151,0.081,0.178,0.165,0.104,0.165,0.093,0.9997,0.9982,-0.9483,0.9153,0.9516,20,872,0.022935779816513763,65,0.07454128440366972,429,266,71,56,50,14,27,10,4,10
Megamind,Megamind,1,0.9994,0.9988,0.9907,0.9882,0.9969,"{'neg': 0.127, 'neu': 0.696, 'pos': 0.176, 'compound': 0.9999}","{'neg': 0.116, 'neu': 0.701, 'pos': 0.183, 'compound': 0.9997}","{'neg': 0.106, 'neu': 0.743, 'pos': 0.15, 'compound': 0.9907}","{'neg': 0.131, 'neu': 0.673, 'pos': 0.197, 'compound': 0.9882}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.127,0.116,0.106,0.131,0.0,0.176,0.183,0.15,0.197,0.0,0.9999,0.9997,0.9907,0.9882,0.0,32,914,0.0350109409190372,29,0.03172866520787746,393,205,153,103,60,20,4,4,1,0
Logan,Logan,1,-0.9864,0.9775,-0.9813,-0.9638,0.5188,"{'neg': 0.125, 'neu': 0.756, 'pos': 0.119, 'compound': -0.9981}","{'neg': 0.12, 'neu': 0.734, 'pos': 0.146, 'compound': 0.9938}","{'neg': 0.142, 'neu': 0.743, 'pos': 0.116, 'compound': -0.9986}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.117, 'neu': 0.773, 'pos': 0.11, 'compound': 0.6741}",0.125,0.12,0.142,0.0,0.117,0.119,0.146,0.116,0.0,0.11,-0.9981,0.9938,-0.9986,0.0,0.6741,26,923,0.028169014084507043,44,0.047670639219934995,424,190,134,100,75,14,21,5,0,4
Clash of the Titans,Clash-of-the-Titans,1,0.9959,0.7033,0.9906,-0.9711,-0.9955,"{'neg': 0.115, 'neu': 0.754, 'pos': 0.131, 'compound': 0.9997}","{'neg': 0.111, 'neu': 0.777, 'pos': 0.112, 'compound': 0.9177}","{'neg': 0.098, 'neu': 0.777, 'pos': 0.124, 'compound': 0.9995}","{'neg': 0.116, 'neu': 0.793, 'pos': 0.091, 'compound': -0.9951}","{'neg': 0.141, 'neu': 0.775, 'pos': 0.085, 'compound': -0.9955}",0.115,0.111,0.098,0.116,0.141,0.131,0.112,0.124,0.091,0.085,0.9997,0.9177,0.9995,-0.9951,-0.9955,51,924,0.05519480519480519,125,0.13528138528138528,377,213,139,99,96,36,43,25,19,2
Prometheus,Prometheus,1,-0.999,0.9693,0.9846,-0.9528,0.9725,"{'neg': 0.132, 'neu': 0.808, 'pos': 0.06, 'compound': -0.9999}","{'neg': 0.076, 'neu': 0.825, 'pos': 0.098, 'compound': 0.9957}","{'neg': 0.101, 'neu': 0.76, 'pos': 0.139, 'compound': 0.9982}","{'neg': 0.102, 'neu': 0.808, 'pos': 0.089, 'compound': -0.9958}","{'neg': 0.05, 'neu': 0.85, 'pos': 0.101, 'compound': 0.9725}",0.132,0.076,0.101,0.102,0.05,0.06,0.098,0.139,0.089,0.101,-0.9999,0.9957,0.9982,-0.9958,0.9725,29,950,0.030526315789473683,54,0.056842105263157895,283,264,190,139,74,19,6,16,8,5
Total Recall,Total-Recall,1,-0.9965,0.8599,-0.988,-0.9952,-0.8314,"{'neg': 0.135, 'neu': 0.748, 'pos': 0.117, 'compound': -0.9996}","{'neg': 0.074, 'neu': 0.84, 'pos': 0.087, 'compound': 0.9695}","{'neg': 0.152, 'neu': 0.766, 'pos': 0.082, 'compound': -0.988}","{'neg': 0.217, 'neu': 0.688, 'pos': 0.095, 'compound': -0.9952}","{'neg': 0.105, 'neu': 0.807, 'pos': 0.087, 'compound': -0.8314}",0.135,0.074,0.152,0.217,0.105,0.117,0.087,0.082,0.095,0.087,-0.9996,0.9695,-0.988,-0.9952,-0.8314,18,558,0.03225806451612903,26,0.04659498207885305,307,86,67,60,38,11,5,1,4,5
Life of Pi,Life-of-Pi,1,0.9986,0.9984,0.9718,0.8989,-0.9732,"{'neg': 0.093, 'neu': 0.755, 'pos': 0.152, 'compound': 0.9986}","{'neg': 0.076, 'neu': 0.805, 'pos': 0.12, 'compound': 0.9996}","{'neg': 0.063, 'neu': 0.824, 'pos': 0.113, 'compound': 0.9923}","{'neg': 0.103, 'neu': 0.783, 'pos': 0.114, 'compound': 0.8989}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.093,0.076,0.063,0.103,0.0,0.152,0.12,0.113,0.114,0.0,0.9986,0.9996,0.9923,0.8989,0.0,32,534,0.0599250936329588,21,0.03932584269662921,212,172,55,57,38,3,12,4,2,0
Ghost Rider,Ghost-Rider,1,-0.9981,-0.9605,-0.9848,-0.5263,0.9804,"{'neg': 0.127, 'neu': 0.777, 'pos': 0.097, 'compound': -0.9998}","{'neg': 0.097, 'neu': 0.814, 'pos': 0.089, 'compound': -0.9942}","{'neg': 0.099, 'neu': 0.836, 'pos': 0.065, 'compound': -0.9957}","{'neg': 0.088, 'neu': 0.821, 'pos': 0.091, 'compound': -0.8059}","{'neg': 0.06, 'neu': 0.835, 'pos': 0.105, 'compound': 0.9804}",0.127,0.097,0.099,0.088,0.06,0.097,0.089,0.065,0.091,0.105,-0.9998,-0.9942,-0.9957,-0.8059,0.9804,31,855,0.03625730994152047,73,0.08538011695906433,362,245,105,75,68,24,31,3,8,7
Oblivion,Oblivion,1,-0.999,0.9578,0.9701,-0.9888,0.9735,"{'neg': 0.102, 'neu': 0.813, 'pos': 0.085, 'compound': -0.9999}","{'neg': 0.082, 'neu': 0.829, 'pos': 0.088, 'compound': 0.9937}","{'neg': 0.08, 'neu': 0.832, 'pos': 0.088, 'compound': 0.9958}","{'neg': 0.135, 'neu': 0.753, 'pos': 0.112, 'compound': -0.997}","{'neg': 0.04, 'neu': 0.83, 'pos': 0.13, 'compound': 0.9928}",0.102,0.082,0.08,0.135,0.04,0.085,0.088,0.088,0.112,0.13,-0.9999,0.9937,0.9958,-0.997,0.9928,62,1506,0.041168658698539175,206,0.13678618857901725,728,390,173,174,41,49,83,31,39,4
Fantastic Four,Fantastic-Four,1,0.9992,0.9967,0.988,0.998,0.9982,"{'neg': 0.069, 'neu': 0.794, 'pos': 0.137, 'compound': 1.0}","{'neg': 0.074, 'neu': 0.803, 'pos': 0.123, 'compound': 0.9998}","{'neg': 0.118, 'neu': 0.736, 'pos': 0.147, 'compound': 0.9984}","{'neg': 0.081, 'neu': 0.787, 'pos': 0.132, 'compound': 0.9999}","{'neg': 0.085, 'neu': 0.751, 'pos': 0.164, 'compound': 0.9999}",0.069,0.074,0.118,0.081,0.085,0.137,0.123,0.147,0.132,0.164,1.0,0.9998,0.9984,0.9999,0.9999,34,1028,0.033073929961089495,188,0.1828793774319066,217,207,193,237,174,57,62,16,37,16
Speed Racer,Speed-Racer,0,0.9918,0.9999,0.9954,-0.9354,0.9877,"{'neg': 0.106, 'neu': 0.771, 'pos': 0.124, 'compound': 0.9994}","{'neg': 0.061, 'neu': 0.766, 'pos': 0.173, 'compound': 1.0}","{'neg': 0.103, 'neu': 0.77, 'pos': 0.128, 'compound': 0.999}","{'neg': 0.099, 'neu': 0.822, 'pos': 0.079, 'compound': -0.9895}","{'neg': 0.077, 'neu': 0.821, 'pos': 0.103, 'compound': 0.9966}",0.106,0.061,0.103,0.099,0.077,0.124,0.173,0.128,0.079,0.103,0.9994,1.0,0.999,-0.9895,0.9966,39,1199,0.03252710592160134,144,0.12010008340283569,414,302,202,145,136,42,25,31,30,16
The Island,"Island,-The",1,0.9954,-0.9096,-0.9888,-0.88,0.8616,"{'neg': 0.053, 'neu': 0.849, 'pos': 0.099, 'compound': 0.9954}","{'neg': 0.108, 'neu': 0.787, 'pos': 0.106, 'compound': -0.9096}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.085, 'neu': 0.842, 'pos': 0.072, 'compound': -0.9623}","{'neg': 0.122, 'neu': 0.729, 'pos': 0.149, 'compound': 0.8616}",0.053,0.108,0.0,0.085,0.122,0.099,0.106,0.0,0.072,0.149,0.9954,-0.9096,0.0,-0.9623,0.8616,30,787,0.03811944091486658,10,0.012706480304955527,309,207,106,86,79,1,5,0,3,1
Ocean's Twelve,Ocean's-Twelve,1,0.9986,-0.9747,0.5186,0.9977,0.9966,"{'neg': 0.085, 'neu': 0.75, 'pos': 0.166, 'compound': 0.9999}","{'neg': 0.116, 'neu': 0.777, 'pos': 0.108, 'compound': -0.9803}","{'neg': 0.093, 'neu': 0.807, 'pos': 0.1, 'compound': 0.5186}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.095, 'neu': 0.724, 'pos': 0.18, 'compound': 0.9991}",0.085,0.116,0.093,0.0,0.095,0.166,0.108,0.1,0.0,0.18,0.9999,-0.9803,0.5186,0.0,0.9991,30,792,0.03787878787878788,20,0.025252525252525252,193,198,201,95,105,6,6,2,0,6
Tomorrow Never Dies,Tomorrow-Never-Dies,1,0.996,0.9995,-0.9753,-0.5463,-0.9607,"{'neg': 0.096, 'neu': 0.783, 'pos': 0.121, 'compound': 0.9995}","{'neg': 0.098, 'neu': 0.747, 'pos': 0.154, 'compound': 0.9999}","{'neg': 0.137, 'neu': 0.733, 'pos': 0.13, 'compound': -0.9751}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.121, 'neu': 0.796, 'pos': 0.083, 'compound': -0.9884}",0.096,0.098,0.137,0.0,0.121,0.121,0.154,0.13,0.0,0.083,0.9995,0.9999,-0.9751,0.0,-0.9884,24,936,0.02564102564102564,74,0.07905982905982906,393,327,134,49,33,24,39,7,0,4
The Patriot,"Patriot,-The",1,-0.9809,-0.7797,0.9756,-0.9553,-0.3411,"{'neg': 0.119, 'neu': 0.763, 'pos': 0.118, 'compound': -0.9985}","{'neg': 0.107, 'neu': 0.788, 'pos': 0.104, 'compound': -0.9555}","{'neg': 0.109, 'neu': 0.748, 'pos': 0.143, 'compound': 0.9756}","{'neg': 0.096, 'neu': 0.824, 'pos': 0.079, 'compound': -0.9933}","{'neg': 0.09, 'neu': 0.816, 'pos': 0.094, 'compound': -0.4312}",0.119,0.107,0.109,0.096,0.09,0.118,0.104,0.143,0.079,0.094,-0.9985,-0.9555,0.9756,-0.9933,-0.4312,40,779,0.051347881899871634,50,0.06418485237483953,421,128,89,93,48,30,6,2,10,2
Ali,Ali,0,-0.9716,0.9214,0.9826,0.9755,-0.9751,"{'neg': 0.12, 'neu': 0.756, 'pos': 0.124, 'compound': -0.9716}","{'neg': 0.082, 'neu': 0.819, 'pos': 0.1, 'compound': 0.9214}","{'neg': 0.089, 'neu': 0.791, 'pos': 0.12, 'compound': 0.9826}","{'neg': 0.083, 'neu': 0.796, 'pos': 0.12, 'compound': 0.9929}","{'neg': 0.099, 'neu': 0.821, 'pos': 0.08, 'compound': -0.9927}",0.12,0.082,0.089,0.083,0.099,0.124,0.1,0.12,0.12,0.08,-0.9716,0.9214,0.9826,0.9929,-0.9927,28,1012,0.02766798418972332,23,0.022727272727272728,635,110,117,71,79,3,3,2,12,3
The Martian,"Martian,-The",1,-0.9144,0.9983,0.9828,-0.8678,-0.8588,"{'neg': 0.063, 'neu': 0.884, 'pos': 0.053, 'compound': -0.9711}","{'neg': 0.098, 'neu': 0.776, 'pos': 0.126, 'compound': 0.9996}","{'neg': 0.071, 'neu': 0.832, 'pos': 0.097, 'compound': 0.9979}","{'neg': 0.091, 'neu': 0.806, 'pos': 0.103, 'compound': 0.9901}","{'neg': 0.056, 'neu': 0.903, 'pos': 0.041, 'compound': -0.9518}",0.063,0.098,0.071,0.091,0.056,0.053,0.126,0.097,0.103,0.041,-0.9711,0.9996,0.9979,0.9901,-0.9518,36,974,0.03696098562628337,55,0.05646817248459959,211,367,175,145,76,13,11,14,15,2
"I, Robot","I,-Robot",1,-0.998,-0.997,0.9712,0.9655,0.916,"{'neg': 0.137, 'neu': 0.743, 'pos': 0.12, 'compound': -0.9999}","{'neg': 0.124, 'neu': 0.784, 'pos': 0.092, 'compound': -0.9998}","{'neg': 0.07, 'neu': 0.804, 'pos': 0.125, 'compound': 0.9921}","{'neg': 0.079, 'neu': 0.796, 'pos': 0.125, 'compound': 0.9904}","{'neg': 0.077, 'neu': 0.818, 'pos': 0.105, 'compound': 0.916}",0.137,0.124,0.07,0.079,0.077,0.12,0.092,0.125,0.125,0.105,-0.9999,-0.9998,0.9921,0.9904,0.916,40,767,0.05215123859191656,40,0.05215123859191656,396,223,67,28,53,14,16,6,3,1
Gone in 60 Seconds,Gone-in-60-Seconds,1,0.997,0.8865,0.83,-0.9956,0.9923,"{'neg': 0.089, 'neu': 0.796, 'pos': 0.115, 'compound': 0.9996}","{'neg': 0.112, 'neu': 0.752, 'pos': 0.136, 'compound': 0.9802}","{'neg': 0.114, 'neu': 0.763, 'pos': 0.124, 'compound': 0.83}","{'neg': 0.133, 'neu': 0.783, 'pos': 0.084, 'compound': -0.9997}","{'neg': 0.065, 'neu': 0.818, 'pos': 0.117, 'compound': 0.9923}",0.089,0.112,0.114,0.133,0.065,0.115,0.136,0.124,0.084,0.117,0.9996,0.9802,0.83,-0.9997,0.9923,50,884,0.05656108597285068,52,0.058823529411764705,353,161,114,132,124,26,9,1,8,8
Gladiator,Gladiator,1,0.9408,0.9996,-0.8136,0.9962,0.9969,"{'neg': 0.139, 'neu': 0.698, 'pos': 0.163, 'compound': 0.9972}","{'neg': 0.071, 'neu': 0.766, 'pos': 0.163, 'compound': 1.0}","{'neg': 0.112, 'neu': 0.782, 'pos': 0.106, 'compound': -0.9626}","{'neg': 0.098, 'neu': 0.75, 'pos': 0.153, 'compound': 0.999}","{'neg': 0.078, 'neu': 0.77, 'pos': 0.152, 'compound': 0.9996}",0.139,0.071,0.112,0.098,0.078,0.163,0.163,0.106,0.153,0.152,0.9972,1.0,-0.9626,0.999,0.9996,42,807,0.05204460966542751,41,0.05080545229244114,198,213,161,137,98,7,13,11,2,8
Public Enemies,Public-Enemies,1,0.9991,-0.9896,-0.9909,-0.8613,-0.9108,"{'neg': 0.093, 'neu': 0.774, 'pos': 0.133, 'compound': 0.9999}","{'neg': 0.085, 'neu': 0.86, 'pos': 0.056, 'compound': -0.9993}","{'neg': 0.115, 'neu': 0.797, 'pos': 0.088, 'compound': -0.9989}","{'neg': 0.127, 'neu': 0.754, 'pos': 0.119, 'compound': -0.9529}","{'neg': 0.06, 'neu': 0.904, 'pos': 0.036, 'compound': -0.9863}",0.093,0.085,0.115,0.127,0.06,0.133,0.056,0.088,0.119,0.036,0.9999,-0.9993,-0.9989,-0.9529,-0.9863,36,1087,0.03311867525298988,90,0.0827966881324747,518,227,173,99,70,23,27,12,16,12
Django Unchained,Django-Unchained,1,0.9999,0.9638,-0.9951,-0.997,0.9654,"{'neg': 0.081, 'neu': 0.778, 'pos': 0.141, 'compound': 1.0}","{'neg': 0.134, 'neu': 0.724, 'pos': 0.142, 'compound': 0.997}","{'neg': 0.135, 'neu': 0.743, 'pos': 0.122, 'compound': -0.9987}","{'neg': 0.114, 'neu': 0.808, 'pos': 0.079, 'compound': -0.9992}","{'neg': 0.059, 'neu': 0.854, 'pos': 0.087, 'compound': 0.9881}",0.081,0.134,0.135,0.114,0.059,0.141,0.142,0.122,0.079,0.087,1.0,0.997,-0.9987,-0.9992,0.9881,62,1814,0.034178610804851156,160,0.08820286659316427,837,505,232,142,98,38,70,28,15,9
True Lies,True-Lies,1,0.9921,0.8984,-0.9787,0.9958,0.9964,"{'neg': 0.097, 'neu': 0.783, 'pos': 0.119, 'compound': 0.9995}","{'neg': 0.12, 'neu': 0.751, 'pos': 0.128, 'compound': 0.9954}","{'neg': 0.112, 'neu': 0.777, 'pos': 0.111, 'compound': -0.9968}","{'neg': 0.113, 'neu': 0.734, 'pos': 0.153, 'compound': 0.9989}","{'neg': 0.041, 'neu': 0.787, 'pos': 0.172, 'compound': 0.9964}",0.097,0.12,0.112,0.113,0.041,0.119,0.128,0.111,0.153,0.172,0.9995,0.9954,-0.9968,0.9989,0.9964,36,1268,0.028391167192429023,97,0.07649842271293375,411,268,282,216,91,13,27,43,5,9
American Gangster,American-Gangster,1,0.9967,-0.9969,-0.9876,0.9763,0.971,"{'neg': 0.088, 'neu': 0.803, 'pos': 0.109, 'compound': 0.9967}","{'neg': 0.125, 'neu': 0.779, 'pos': 0.096, 'compound': -0.9992}","{'neg': 0.151, 'neu': 0.765, 'pos': 0.084, 'compound': -0.9876}","{'neg': 0.066, 'neu': 0.818, 'pos': 0.117, 'compound': 0.9763}","{'neg': 0.098, 'neu': 0.767, 'pos': 0.135, 'compound': 0.971}",0.088,0.125,0.151,0.066,0.098,0.109,0.096,0.084,0.117,0.135,0.9967,-0.9992,-0.9876,0.9763,0.971,28,911,0.030735455543358946,25,0.027442371020856202,400,329,56,52,74,1,8,3,8,5
The Wolf of Wall Street,"Wolf-of-Wall-Street,-The",1,0.9999,-0.996,-0.997,0.9659,0.9387,"{'neg': 0.102, 'neu': 0.756, 'pos': 0.142, 'compound': 1.0}","{'neg': 0.131, 'neu': 0.797, 'pos': 0.073, 'compound': -0.996}","{'neg': 0.189, 'neu': 0.696, 'pos': 0.115, 'compound': -0.9992}","{'neg': 0.043, 'neu': 0.861, 'pos': 0.096, 'compound': 0.9659}","{'neg': 0.088, 'neu': 0.783, 'pos': 0.128, 'compound': 0.9387}",0.102,0.131,0.189,0.043,0.088,0.142,0.073,0.115,0.096,0.128,1.0,-0.996,-0.9992,0.9659,0.9387,38,1123,0.03383793410507569,39,0.034728406055209264,808,125,107,39,44,29,1,5,2,2
The Tourist,"Tourist,-The",1,-0.9734,0.9954,0.9962,0.9905,-0.7269,"{'neg': 0.129, 'neu': 0.753, 'pos': 0.118, 'compound': -0.9922}","{'neg': 0.098, 'neu': 0.758, 'pos': 0.144, 'compound': 0.9992}","{'neg': 0.083, 'neu': 0.787, 'pos': 0.13, 'compound': 0.9996}","{'neg': 0.056, 'neu': 0.767, 'pos': 0.176, 'compound': 0.9905}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.129,0.098,0.083,0.056,0.0,0.118,0.144,0.13,0.176,0.0,-0.9922,0.9992,0.9996,0.9905,0.0,19,669,0.028400597907324365,40,0.059790732436472344,205,191,172,57,44,6,17,15,2,0
Starship Troopers,Starship-Troopers,1,0.9997,0.9993,-0.9662,0.9921,-0.7207,"{'neg': 0.101, 'neu': 0.71, 'pos': 0.189, 'compound': 0.9999}","{'neg': 0.1, 'neu': 0.71, 'pos': 0.19, 'compound': 0.9998}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}","{'neg': 0.085, 'neu': 0.769, 'pos': 0.146, 'compound': 0.9979}","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.101,0.1,0.0,0.085,0.0,0.189,0.19,0.0,0.146,0.0,0.9999,0.9998,0.0,0.9979,0.0,31,834,0.03717026378896882,49,0.05875299760191847,373,202,132,81,46,17,27,0,5,0
Point Break,Point-Break,1,0.9825,0.9855,0.8562,-0.9374,0.6032,"{'neg': 0.108, 'neu': 0.762, 'pos': 0.13, 'compound': 0.9987}","{'neg': 0.119, 'neu': 0.742, 'pos': 0.139, 'compound': 0.9981}","{'neg': 0.098, 'neu': 0.789, 'pos': 0.113, 'compound': 0.9404}","{'neg': 0.128, 'neu': 0.755, 'pos': 0.117, 'compound': -0.9793}","{'neg': 0.122, 'neu': 0.75, 'pos': 0.128, 'compound': 0.6937}",0.108,0.119,0.098,0.128,0.122,0.13,0.139,0.113,0.117,0.128,0.9987,0.9981,0.9404,-0.9793,0.6937,26,1080,0.024074074074074074,54,0.05,414,274,237,101,54,21,9,5,11,8
