,Processed Title,Success,main_char_rel_diag_length,stdvs_unique_words_above_mean,FK_read_level_mean_char,stdvs_n_stop_words_above_mean,stdvs_n_curse_words_above_mean,stdvs_n_mentions_others_above_mean
Constantine,Constantine,1,59.668215999697686,-0.8718274370298408,2.8,-1.0126837982333632,-0.21098067702826012,-0.5101609660423219
Life,Life,0,44.140211079557496,0.35452075412846856,2.2,-0.17891969006083366,0.3554162235615025,0.09394947115043288
Spanglish,Spanglish,0,33.837803320561946,0.8564301462714058,3.4,0.8700093492529938,-0.5734746934057082,-0.33528689211810336
Hostage,Hostage,1,50.59909570459683,-1.2681571835763672,0.8,-1.1202662638040122,1.1257160083635795,-0.14451517510986503
Soldier,Soldier,0,27.44159544159544,-1.3201348552546002,2.8,-1.0664750310186877,-0.46019531328775565,-0.8122161846386993
Monkeybone,Monkeybone,0,33.71896413633532,-0.9140592952684052,1.8,-0.5823539359507673,-0.4828511893113462,-0.1365663535678551
Unbreakable,Unbreakable,1,33.170470517368315,-0.5502155935207742,2.4,-0.7571754425030719,-0.7094099495472512,-0.6691373968825205
Sphere,Sphere,0,31.1117578579744,0.9457667694683688,2.0,1.892042772174159,0.21948096741995946,3.297324552580435
Funny People,Funny-People,0,40.612134903615704,1.9642042739137464,2.0,1.9323861967631524,2.7569390820620963,0.8093434099313267
The Kingdom,"Kingdom,-The",1,51.60342163771338,-0.4218957165651366,3.0,-0.5016670867727806,-0.5961305694292987,-0.9870902585629177
Braveheart,Braveheart,1,38.95492818226845,-1.1317157954210058,1.8,-0.4747714703801183,-0.6640981975000702,-0.5737515383784013
Signs,Signs,1,42.94629546163714,-0.6492980301574058,3.2,-0.29994996382781375,-0.6187864454528892,-0.03323167352172601
Runaway Bride,Runaway-Bride,1,40.086396082145576,0.4568517952449898,2.2,0.39933606238140457,-0.5734746934057082,0.29267000970068113
xXx,xXx,1,49.46827456367985,0.30091878021029084,2.8,0.21106674763276886,0.15151333934918795,-0.7406767907606099
Inglourious Basterds,Inglourious-Basterds,1,21.09789243862229,0.981501418747154,4.8,1.0986220885906228,-0.4148835612405747,-0.32733807057609343
Die Hard 2,Die-Hard-2,1,42.17232155427284,-0.0028257386593831648,3.6,-0.21926311464982703,0.69525436391536,-0.6532397537985006
Sleepy Hollow,Sleepy-Hollow,1,55.38264186611754,-0.4657518770436456,2.4,0.14382770665111325,-0.6867540735236607,-0.7804208984706595
Vanilla Sky,Vanilla-Sky,1,49.562822107695034,1.506151042249318,2.6,0.9238005820383183,0.24213684344354997,0.2052329727385719
