,Processed Title,Success,FK_read_level_char_1,FK_read_level_char_2,FK_read_level_char_3,FK_read_level_char_4,FK_read_level_char_5,n_stop_words_char_1,n_stop_words_char_2,n_stop_words_char_3,n_stop_words_char_4,n_stop_words_char_5,n_curse_words_char_1,n_curse_words_char_2,n_curse_words_char_3,n_curse_words_char_4,n_curse_words_char_5,n_mentions_others_char_1,n_mentions_others_char_2,n_mentions_others_char_3,n_mentions_others_char_4,n_mentions_others_char_5,main_char_rel_diag_length,stdvs_unique_words_above_mean
Signs,Signs,1,2,2,2,3,7,137,123,97,113,45,1,4,0,0,0,75,17,27,15,4,42.94629546163714,-0.6492980301574058
Runaway Bride,Runaway-Bride,1,2,2,2,2,3,156,149,101,91,70,3,3,1,0,0,63,54,29,21,12,40.086396082145576,0.45685179524498976
xXx,xXx,1,2,2,2,3,5,148,108,120,120,57,25,1,8,5,0,27,10,12,0,0,49.46827456367985,0.30091878021029084
Inglourious Basterds,Inglourious-Basterds,1,3,6,4,5,6,133,151,124,117,94,4,3,4,2,1,31,13,10,20,27,21.09789243862229,0.9815014187471539
Die Hard 2,Die-Hard-2,1,3,4,4,4,3,140,103,96,96,86,38,4,17,2,2,40,5,7,2,6,42.17232155427284,-0.0028257386593831648
Sleepy Hollow,Sleepy-Hollow,1,2,2,1,3,4,163,106,98,91,90,1,0,0,1,0,19,11,4,5,5,55.38264186611754,-0.4657518770436456
Vanilla Sky,Vanilla-Sky,1,2,2,2,3,4,160,118,106,117,105,26,1,16,0,0,56,24,26,35,27,49.562822107695034,1.506151042249318
Battle: Los Angeles,Battle-Los-Angeles,1,3,2,4,4,3,60,70,33,56,36,0,0,1,1,1,3,8,1,0,2,22.855825391945896,-2.442527703056444
War Horse,War-Horse,1,0,1,1,1,2,101,95,85,84,74,0,0,0,0,0,13,9,1,1,0,38.008633093525184,-1.4679463590895754
Big Fish,Big-Fish,1,3,2,1,2,2,169,134,96,111,69,1,0,0,0,1,31,8,8,8,2,54.95111914559597,0.04103042181912591
The Abyss,"Abyss,-The",0,1,2,2,3,2,138,133,89,80,60,8,5,6,0,2,23,48,10,2,6,32.5429110030757,-0.3942825784860753
The Siege,"Siege,-The",1,3,2,3,4,2,161,144,106,132,94,9,7,12,4,2,43,28,17,12,0,41.91119769471164,0.9555125829080374
Hard Rain,Hard-Rain,0,2,2,1,2,2,123,125,110,91,94,7,0,9,1,2,50,35,38,13,10,35.8169428027,-0.4007797874458544
Next,Next,1,1,2,2,1,1,153,126,126,153,153,2,4,4,2,2,79,61,59,79,75,23.10670298233893,1.3534666316945088
Hall Pass,Hall-Pass,1,2,2,2,2,4,175,175,129,118,105,9,12,0,3,2,246,221,94,92,60,39.12849065312717,2.3118049532619294
The Insider,"Insider,-The",0,3,3,4,3,5,156,154,118,75,76,27,13,5,2,0,14,14,5,2,3,44.776712138361034,0.5283210938025601
Entrapment,Entrapment,1,2,2,2,5,3,171,159,60,46,40,13,13,2,0,1,17,20,3,0,2,51.1767578125,0.417868541486315
The X Files: Fight the Future,"X-Files-Fight-the-Future,-The",1,3,4,5,7,5,140,126,108,68,60,4,1,3,0,0,47,39,7,11,11,38.79217273954115,-0.49011641064281736
Saving Private Ryan,Saving-Private-Ryan,1,2,3,2,3,4,163,126,85,83,92,11,22,3,2,1,105,27,12,11,12,52.459244809809114,0.37563668324775074
Lincoln,Lincoln,1,4,6,4,6,5,158,102,109,107,75,1,0,0,2,0,15,1,10,5,1,54.445305710191896,0.7703421275543324
The Matrix,"Matrix,-The",1,0,2,1,4,1,100,132,105,114,94,17,1,5,0,5,20,42,45,8,13,17.301107084677017,-0.6298064032780685
Les Miserables,Les-Miserables,1,2,2,2,3,2,147,123,123,109,90,0,0,0,3,1,55,30,11,9,11,36.23407779745246,-0.04343329465800268
Cliffhanger,Cliffhanger,1,4,3,3,2,4,143,128,112,94,99,11,3,6,0,1,72,24,30,37,14,48.91276777273042,0.40812272804664634
Broken Arrow,Broken-Arrow,1,2,3,2,2,3,132,148,121,88,71,7,7,3,0,2,75,78,39,19,12,35.96501567693722,0.3577693586083581
Blade: Trinity,Blade-Trinity,1,4,3,3,2,6,128,97,96,98,98,18,4,0,1,0,29,23,22,7,5,34.16515225388945,-0.5096080375221548
Fight Club,Fight-Club,1,3,2,2,2,3,175,155,103,39,40,19,23,11,2,0,110,15,7,1,0,55.85180833232536,0.9798771165072091
The Long Kiss Goodnight,"Long-Kiss-Goodnight,-The",0,2,2,1,2,4,141,131,120,102,85,40,41,9,15,6,24,21,18,11,11,30.430217669654287,0.8288170081923445
Hudson Hawk,Hudson-Hawk,0,3,4,3,4,4,138,115,107,85,91,22,0,2,2,6,39,10,11,11,18,43.73938158341829,0.5900445789204618
Jurassic Park,Jurassic-Park,1,3,4,2,2,5,120,139,100,90,91,0,0,1,2,0,60,53,21,20,7,24.763864210230988,0.06052204869846328
The American President,"American-President,-The",1,3,3,4,2,7,172,148,110,83,76,3,5,5,1,1,101,32,11,6,1,53.615737462672776,1.3096104712159995
