Processed Title,Release Date,Production Budget ($),Domestic Gross ($),Worldwide Gross ($),Domestic ROI (%),Worldwide ROI (%),Success
Speed-Racer,"May 9, 2008",120000000,43945766.0,93394462.0,-63.37852833333334,-22.171281666666665,0
"Island,-The","Jul 22, 2005",120000000,35818913.0,163018913.0,-70.15090583333334,35.84909416666667,0
Ocean's-Twelve,"Dec 10, 2004",110000000,125531634.0,362989076.0,14.119667272727272,229.9900690909091,1
Tomorrow-Never-Dies,"Dec 19, 1997",110000000,125304276.0,339504276.0,13.912978181818184,208.64025090909092,1
"Patriot,-The","Jun 28, 2000",110000000,113330342.0,215300000.0,3.0275836363636364,95.72727272727272,0
Ali,"Dec 25, 2001",109000000,58183966.0,87683966.0,-46.62021467889908,-19.555994495412843,0
"Martian,-The","Oct 2, 2015",108000000,228433663.0,655271443.0,111.51265092592593,506.7328175925926,1
"I,-Robot","Jul 16, 2004",105000000,144801023.0,348629585.0,37.90573619047619,232.0281761904762,1
Gone-in-60-Seconds,"Jun 9, 2000",103300000,101643008.0,232643008.0,-1.6040580832526619,125.2110435624395,1
Gladiator,"May 5, 2000",103000000,187683805.0,457683805.0,82.21728640776698,344.35320873786407,1
Public-Enemies,"Jul 1, 2009",102500000,97104620.0,212282709.0,-5.263785365853659,107.10508195121952,1
Django-Unchained,"Dec 25, 2012",100000000,162805434.0,449948323.0,62.805434,349.948323,1
True-Lies,"Jul 15, 1994",100000000,146282411.0,365300000.0,46.282410999999996,265.3,1
American-Gangster,"Nov 2, 2007",100000000,130164645.0,267985456.0,30.164645,167.985456,1
"Wolf-of-Wall-Street,-The","Dec 25, 2013",100000000,116900694.0,389870414.0,16.900694,289.87041400000004,1
"Tourist,-The","Dec 10, 2010",100000000,67631157.0,278731369.0,-32.368843,178.731369,1
Starship-Troopers,"Nov 7, 1997",100000000,54768952.0,121100000.0,-45.231048,21.1,0
Point-Break,"Dec 25, 2015",100000000,28782481.0,126704591.0,-71.217519,26.704590999999997,0
"Fifth-Element,-The","May 9, 1997",95000000,63570862.0,263898761.0,-33.08330315789474,177.7881694736842,1
Rise-of-the-Planet-of-the-Apes,"Aug 5, 2011",93000000,176760185.0,470986200.0,90.06471505376345,406.43677419354833,1
"Secret-Life-of-Walter-Mitty,-The","Dec 25, 2013",91000000,58236838.0,187861183.0,-36.00347472527473,106.44086043956044,1
Men-in-Black,"Jul 1, 1997",90000000,250690539.0,587790539.0,178.54504333333333,553.1005988888887,1
Rush-Hour-2,"Aug 3, 2001",90000000,226164286.0,347425832.0,151.29365111111107,286.02870222222225,1
Sherlock-Holmes,"Dec 25, 2009",90000000,209028679.0,498438212.0,132.25408777777778,453.8202355555555,1
What-Lies-Beneath,"Jul 21, 2000",90000000,155464351.0,288693989.0,72.73816777777778,220.7710988888889,1
"Departed,-The","Oct 6, 2006",90000000,132384315.0,289660619.0,47.09368333333333,221.84513222222225,1
Charlie's-Angels,"Nov 3, 2000",90000000,125305545.0,259736090.0,39.22838333333333,188.59565555555562,1
Tropic-Thunder,"Aug 13, 2008",90000000,110515313.0,191145256.0,22.794792222222227,112.38361777777777,1
"Girl-with-the-Dragon-Tattoo,-The","Dec 20, 2011",90000000,102515793.0,239373970.0,13.906436666666664,165.97107777777774,1
Valkyrie,"Dec 25, 2008",90000000,83107829.0,203932174.0,-7.6579677777777775,126.59130444444445,1
Hollow-Man,"Aug 4, 2000",90000000,73209340.0,191200000.0,-18.656288888888884,112.44444444444444,1
Mission-to-Mars,"Mar 10, 2000",90000000,60874615.0,106000000.0,-32.36153888888889,17.777777777777782,0
Conan-the-Barbarian,"Aug 19, 2011",90000000,21295021.0,63356133.0,-76.33886555555556,-29.604296666666666,0
"Three-Musketeers,-The","Oct 21, 2011",90000000,20377913.0,139877913.0,-77.35787444444446,55.41990333333333,0
Hannibal,"Feb 9, 2001",87000000,165092266.0,350100280.0,89.76122528735632,302.41411494252867,1
Cast-Away,"Dec 22, 2000",85000000,233632142.0,427230516.0,174.86134352941173,402.62413647058816,1
Happy-Feet,"Nov 17, 2006",85000000,198000317.0,385000317.0,132.9415494117647,352.9415494117647,1
Ocean's-Eleven,"Dec 7, 2001",85000000,183417150.0,450728529.0,115.7848823529412,430.2688576470589,1
It's-Complicated,"Dec 25, 2009",85000000,112735375.0,224614744.0,32.629852941176466,164.25263999999999,1
Meet-Joe-Black,"Nov 13, 1998",85000000,44650003.0,44650003.0,-47.47058470588235,-47.47058470588235,0
Collateral-Damage,"Feb 8, 2002",85000000,40048332.0,78353508.0,-52.88431529411765,-7.819402352941178,0
Judge-Dredd,"Jun 30, 1995",85000000,34687912.0,113487912.0,-59.19069176470589,33.515190588235285,0
Bruce-Almighty,"May 23, 2003",81000000,242704995.0,484468608.0,199.63579629629632,498.1093925925926,1
Mission-Impossible,"May 21, 1996",80000000,180981886.0,457697994.0,126.2273575,472.12249249999996,1
Something's-Gotta-Give,"Dec 12, 2003",80000000,124685242.0,266685242.0,55.8565525,233.3565525,1
Eagle-Eye,"Sep 26, 2008",80000000,101440743.0,180585259.0,26.80092875,125.73157375,1
Cold-Mountain,"Dec 25, 2003",80000000,95632614.0,165173909.0,19.540767499999998,106.46738625,1
"Book-of-Eli,-The","Jan 15, 2010",80000000,94835059.0,158750817.0,18.54382375,98.43852125,0
